Year,District,Area,Zone,Population,Water_Demand_MLD,Water_Supply_MLD,Supply_Coverage_Percent,Water_Quality_Index,pH,TDS_ppm,Residual_Chlorine_mgL,Turbidity_NTU,Groundwater_Level_m_bgl,Rainfall_mm,Leakage_Percent,Non_Revenue_Water_Percent,Complaint_Count,Pipeline_Length_km,Treatment_Plant,Water_Source,Water_Quality_Status,Priority_Level
2017,New Delhi,Safdarjung,Central,65726,15.2,12.69,83.5,79.1,8,452,0.51,0.8,14.1,523,27.3,34.6,200,30,Wazirabad,Groundwater,Poor,High
2018,New Delhi,Safdarjung,Central,66728,13.02,11.29,86.7,80.4,7.9,451,0.76,2.4,14.5,854,26.1,29.5,179,30,Bawana,Yamuna,Moderate,Medium
2019,New Delhi,Safdarjung,Central,67679,14.16,12.09,85.4,81.3,7.8,281,0.51,2,14.9,491,25.1,29.8,193,30,Bhagirathi,Yamuna,Moderate,Medium
2020,New Delhi,Safdarjung,Central,68994,15.53,13.78,88.8,81.9,8.1,388,0.43,0.5,15.2,746,24.4,27.9,162,30,Dwarka,Yamuna,Moderate,Medium
2021,New Delhi,Safdarjung,Central,70157,16.22,14.07,86.8,82.7,7.3,450,0.54,1.2,15.6,462,23.4,27.8,182,30,Chandrawal,Groundwater,Moderate,Medium
2022,New Delhi,Safdarjung,Central,71605,15.79,14.42,91.3,83.7,7.6,291,0.49,2.3,16,606,22.2,28.1,139,30,Okhla,Groundwater,Moderate,Medium
2023,New Delhi,Safdarjung,Central,72883,16.47,14.87,90.3,85,8.2,237,0.64,1.7,16.4,430,21.4,28.6,135,30,Chandrawal,Ganga Canal,Moderate,Medium
2024,New Delhi,Safdarjung,Central,73874,15.92,14.56,91.5,86,7.5,249,0.42,1,16.8,640,20.3,23.4,132,30,Bawana,Ganga Canal,Moderate,Medium
2025,New Delhi,Safdarjung,Central,75305,16.03,14.62,91.2,86.7,7.1,249,0.5,1.5,17.2,668,19.5,23,135,30,Haiderpur,Yamuna,Moderate,Medium
2014,New Delhi,Kidwai Nagar,Central,64088,14.51,11.43,78.8,79,7.2,239,0.72,2.1,15.6,734,29.2,36.3,244,42,Bhagirathi,Ganga Canal,Poor,High
2015,New Delhi,Kidwai Nagar,Central,65456,13.56,11.05,81.5,79.8,7.2,274,0.72,0.6,15.9,856,28.4,34.7,230,42,Chandrawal,Groundwater,Poor,High
2016,New Delhi,Kidwai Nagar,Central,66752,15.1,12.74,84.4,80.8,7.1,380,0.41,2.3,16.1,935,27.8,34.1,198,42,Wazirabad,Yamuna,Moderate,High
2017,New Delhi,Kidwai Nagar,Central,67595,15.95,13.03,81.7,82,7.3,369,0.55,1.5,16.6,526,26.6,31.3,209,42,Okhla,Ganga Canal,Moderate,High
2018,New Delhi,Kidwai Nagar,Central,68788,15.06,13.07,86.8,83.3,8.2,202,0.66,0.8,17,596,25.7,31.6,192,42,Bhagirathi,Yamuna,Moderate,Medium
2019,New Delhi,Kidwai Nagar,Central,69909,14.99,13.03,86.9,84.3,8,403,0.36,1.8,17.4,503,24.9,30.4,177,42,Wazirabad,Ganga Canal,Moderate,Medium
2020,New Delhi,Kidwai Nagar,Central,71095,15.3,13.44,87.8,85.4,7.1,218,0.3,1.3,17.6,597,24.2,29,174,42,Dwarka,Ganga Canal,Moderate,Medium
2021,New Delhi,Kidwai Nagar,Central,72325,15.18,13.2,86.9,86.5,7.9,360,0.39,1.2,17.9,448,23.7,29.7,167,42,Bawana,Yamuna,Moderate,Medium
2022,New Delhi,Kidwai Nagar,Central,73300,17.09,15.59,91.2,87.5,7.7,479,0.78,1.7,18.4,660,22.9,28.9,148,42,Bawana,Yamuna,Moderate,Medium
2023,New Delhi,Kidwai Nagar,Central,74424,14.5,13.43,92.6,89,7.5,371,0.49,1.1,18.9,977,22,27.5,131,42,Chandrawal,Ganga Canal,Good,Low
2024,New Delhi,Kidwai Nagar,Central,75701,15.32,14.08,91.9,90,8,420,0.25,1.2,19.1,612,20.8,27.7,127,42,Okhla,Ganga Canal,Good,Medium
2025,New Delhi,Kidwai Nagar,Central,77209,15.25,14.45,94.8,91.1,7.3,368,0.29,1.4,19.4,795,20.1,23.4,117,42,Chandrawal,Groundwater,Good,Low
2014,New Delhi,Race Course,Central,58273,11.51,9.16,79.6,81.7,8,484,0.35,1.7,15,670,24.6,32.1,219,48,Okhla,Yamuna,Moderate,High
2015,New Delhi,Race Course,Central,59331,14.42,11.97,83,82.7,7.4,356,0.7,2.4,15.5,566,24,31.6,204,48,Bhagirathi,Yamuna,Moderate,High
2016,New Delhi,Race Course,Central,60179,12.6,10.21,81,83.4,7.1,265,0.47,1.4,16,546,23.1,30.1,210,48,Chandrawal,Yamuna,Moderate,High
2017,New Delhi,Race Course,Central,61069,14.95,12.21,81.6,84.1,7.9,294,0.26,0.8,16.3,924,22.1,26.7,193,48,Okhla,Yamuna,Moderate,High
2018,New Delhi,Race Course,Central,62273,15.1,12.82,84.9,85.4,7.1,440,0.55,1.3,16.6,530,21.6,26.2,184,48,Bawana,Ganga Canal,Moderate,High
2019,New Delhi,Race Course,Central,63450,12.78,10.79,84.4,86.2,8,350,0.27,2,17,483,20.7,27.5,167,48,Bhagirathi,Yamuna,Moderate,High
2020,New Delhi,Race Course,Central,64591,12.98,11.17,86.1,86.8,7.1,185,0.31,1.6,17.4,562,20.1,24.1,153,48,Wazirabad,Yamuna,Moderate,Medium
2021,New Delhi,Race Course,Central,65878,15.55,13.78,88.6,87.5,7,444,0.26,0.7,17.8,436,19.4,22.7,151,48,Okhla,Yamuna,Moderate,Medium
2022,New Delhi,Race Course,Central,66858,15.23,13.57,89.1,88.5,7.7,215,0.71,1.1,18.1,838,18.3,23.4,135,48,Dwarka,Ganga Canal,Good,Medium
2023,New Delhi,Race Course,Central,68320,15.21,13.62,89.5,89.6,7.4,313,0.56,2.1,18.4,759,17.7,23.1,139,48,Okhla,Yamuna,Good,Medium
2024,New Delhi,Race Course,Central,69337,14.25,13.12,92,91,7.4,362,0.28,1,18.8,975,17,23.4,112,48,Haiderpur,Yamuna,Good,Low
2025,New Delhi,Race Course,Central,70383,15.43,14.46,93.7,92.3,7.8,314,0.3,1.1,19.1,456,16,22.9,105,48,Okhla,Ganga Canal,Good,Low
2014,New Delhi,Teen Murti,Central,64678,14.58,11.66,80,74.3,7.3,360,0.48,2.4,16.6,926,28,33.5,238,20,Wazirabad,Ganga Canal,Poor,High
2015,New Delhi,Teen Murti,Central,65682,13.42,10.96,81.7,75.4,7.5,224,0.42,1.1,16.9,951,27.3,30.8,213,20,Dwarka,Groundwater,Poor,High
2016,New Delhi,Teen Murti,Central,66498,14.12,11.65,82.5,76.5,7.9,459,0.32,2.1,17.1,448,26.7,34.7,204,20,Okhla,Yamuna,Poor,High
2017,New Delhi,Teen Murti,Central,67474,16.03,13.34,83.2,77.3,8.1,212,0.71,2,17.4,577,25.8,31,196,20,Wazirabad,Groundwater,Poor,High
2018,New Delhi,Teen Murti,Central,68672,13.91,11.7,84.1,78.7,8.1,290,0.66,0.5,17.9,582,24.8,32.2,204,20,Dwarka,Ganga Canal,Poor,High
2019,New Delhi,Teen Murti,Central,70138,15.1,12.73,84.3,80,7.6,432,0.35,1,18.3,607,23.7,27.9,183,20,Dwarka,Ganga Canal,Poor,High
2020,New Delhi,Teen Murti,Central,71623,14.81,12.94,87.4,80.7,7.6,318,0.24,2.2,18.7,594,22.9,29.1,159,20,Wazirabad,Yamuna,Moderate,Medium
2021,New Delhi,Teen Murti,Central,72550,14.51,13.12,90.4,81.4,7.2,520,0.55,0.5,19.1,758,21.9,27.3,150,20,Okhla,Ganga Canal,Moderate,Medium
2022,New Delhi,Teen Murti,Central,73632,14.6,13.27,90.9,82.4,7.5,359,0.35,1.4,19.5,906,21.1,24.5,129,20,Haiderpur,Yamuna,Moderate,Medium
2023,New Delhi,Teen Murti,Central,74875,15.2,13.76,90.6,83.6,8,330,0.53,2,19.9,546,20.2,27.4,135,20,Haiderpur,Yamuna,Moderate,Medium
2024,New Delhi,Teen Murti,Central,76081,15.78,14.25,90.3,84.6,7.4,207,0.61,1.5,20.4,702,19.3,24.8,127,20,Haiderpur,Yamuna,Moderate,Medium
2025,New Delhi,Teen Murti,Central,77604,15.15,13.83,91.3,85.5,7.1,328,0.5,2.4,20.6,777,18.5,25.3,127,20,Haiderpur,Ganga Canal,Moderate,Medium
2014,New Delhi,Bengali Market,Central,55866,12.33,9.92,80.4,79.3,7.9,184,0.53,1.9,16.1,969,25.7,31.6,216,31,Bhagirathi,Yamuna,Poor,High
2015,New Delhi,Bengali Market,Central,56641,13.36,10.85,81.2,80.1,7.9,443,0.29,2,16.3,444,24.7,32.6,218,31,Bawana,Yamuna,Moderate,High
2016,New Delhi,Bengali Market,Central,57857,13.56,11.2,82.6,81.5,7.6,328,0.52,0.4,16.7,612,24.2,29.5,197,31,Okhla,Yamuna,Moderate,High
2017,New Delhi,Bengali Market,Central,58885,12.13,10.38,85.6,82.8,7.6,460,0.77,0.9,17.1,804,23.3,29,183,31,Bhagirathi,Yamuna,Moderate,Medium
2018,New Delhi,Bengali Market,Central,59712,13.34,11.09,83.1,83.8,8.2,203,0.53,2.2,17.6,845,22.8,28.3,186,31,Wazirabad,Ganga Canal,Moderate,High
2019,New Delhi,Bengali Market,Central,60688,13.18,11.28,85.6,85.2,8.1,460,0.32,1.1,17.9,963,22.2,27,169,31,Bawana,Ganga Canal,Moderate,Medium
2020,New Delhi,Bengali Market,Central,61526,14.89,13.23,88.9,86.1,7.8,390,0.4,0.8,18.2,649,21.4,27.3,157,31,Haiderpur,Groundwater,Moderate,Medium
2021,New Delhi,Bengali Market,Central,62643,15.2,13.39,88.1,86.8,7.9,518,0.34,2.2,18.5,732,20.8,27.8,149,31,Bawana,Yamuna,Moderate,Medium
2022,New Delhi,Bengali Market,Central,63684,14.57,13.2,90.6,87.5,7.7,516,0.64,2.2,18.8,687,20.2,25.6,146,31,Haiderpur,Yamuna,Moderate,Medium
2023,New Delhi,Bengali Market,Central,64855,12.94,11.89,91.9,88.3,8,287,0.24,2.2,19.3,812,19,23.2,114,31,Haiderpur,Ganga Canal,Good,Medium
2024,New Delhi,Bengali Market,Central,66245,15.44,13.91,90.1,89.1,7.4,497,0.28,1.6,19.6,562,18.3,24.6,130,31,Bhagirathi,Ganga Canal,Good,Medium
2025,New Delhi,Bengali Market,Central,67174,13.93,12.94,92.9,90.5,8,287,0.29,2,19.8,731,17.3,20.6,103,31,Chandrawal,Ganga Canal,Good,Low
2014,New Delhi,Barakhamba,Central,63642,14.86,11.73,78.9,79.1,7.1,363,0.48,2.4,16.5,571,27.2,32.2,240,50,Dwarka,Yamuna,Poor,High
2015,New Delhi,Barakhamba,Central,64673,14.16,11.24,79.4,79.8,7.1,488,0.6,1.5,16.9,785,26,29.7,229,50,Bawana,Yamuna,Poor,High
2016,New Delhi,Barakhamba,Central,66088,14.41,11.81,82,80.6,7.5,517,0.31,1.2,17.1,598,24.9,31.8,214,50,Bawana,Yamuna,Moderate,High
2017,New Delhi,Barakhamba,Central,67022,15.9,13.03,81.9,81.6,7.8,201,0.3,1.8,17.5,554,24.3,30.4,202,50,Okhla,Ganga Canal,Moderate,High
2018,New Delhi,Barakhamba,Central,68463,14.21,12.15,85.5,82.5,7.3,487,0.5,0.4,17.9,836,23.5,27.1,187,50,Chandrawal,Ganga Canal,Moderate,Medium
2019,New Delhi,Barakhamba,Central,69648,13.58,11.67,85.9,83.9,8,498,0.22,0.3,18.2,895,22.8,28.1,182,50,Wazirabad,Groundwater,Moderate,Medium
2020,New Delhi,Barakhamba,Central,71070,14.06,12.48,88.7,84.6,7,485,0.42,1.9,18.7,660,22,25.6,158,50,Bhagirathi,Ganga Canal,Moderate,Medium
2021,New Delhi,Barakhamba,Central,72055,14.52,12.96,89.2,86,7.1,370,0.26,1.5,19,883,21,28.4,149,50,Bawana,Groundwater,Moderate,Medium
2022,New Delhi,Barakhamba,Central,73051,16.4,14.9,90.8,86.8,8.2,443,0.35,1.2,19.3,921,20.1,27.3,144,50,Bhagirathi,Ganga Canal,Moderate,Medium
2023,New Delhi,Barakhamba,Central,73937,15.51,14.32,92.3,88,7.3,186,0.41,2,19.7,875,19.4,23.8,128,50,Chandrawal,Yamuna,Good,Low
2024,New Delhi,Barakhamba,Central,75512,14.87,13.59,91.4,89.1,7.2,345,0.38,2.3,20,522,18.9,24.1,132,50,Chandrawal,Groundwater,Good,Medium
2025,New Delhi,Barakhamba,Central,76501,16.75,15.28,91.2,90.4,8.1,272,0.56,0.7,20.3,520,18,22,133,50,Okhla,Groundwater,Good,Medium
2014,North Delhi,Model Town,North,46579,11.62,9.42,81.1,73,7.9,451,0.29,1.4,14.5,714,32.7,39.7,236,50,Wazirabad,Ganga Canal,Poor,High
2015,North Delhi,Model Town,North,47477,11.71,9.57,81.7,74.4,7.2,262,0.36,1.8,14.7,468,32.1,36.2,229,50,Haiderpur,Yamuna,Poor,High
2016,North Delhi,Model Town,North,48286,10.08,8.28,82.2,75.4,8.1,433,0.74,1.5,15.2,544,31,36.6,225,50,Chandrawal,Yamuna,Poor,High
2017,North Delhi,Model Town,North,49020,10.48,8.63,82.4,76.3,7.4,224,0.37,1.1,15.6,454,29.9,37.8,226,50,Okhla,Ganga Canal,Poor,High
2018,North Delhi,Model Town,North,49898,12.85,10.77,83.8,77.2,7.3,459,0.25,0.3,15.8,660,28.9,34.5,222,50,Dwarka,Groundwater,Poor,High
2019,North Delhi,Model Town,North,50882,13.14,11.12,84.6,78.2,7.9,366,0.2,2.4,16.1,695,28.3,32.6,214,50,Bawana,Yamuna,Poor,High
2020,North Delhi,Model Town,North,51986,12.55,11.11,88.6,79.7,7.7,464,0.24,2.1,16.5,961,27.5,34.9,184,50,Haiderpur,Ganga Canal,Poor,Medium
2021,North Delhi,Model Town,North,52979,13.12,11.8,89.9,81,7.6,279,0.74,2.1,16.7,502,26.8,34.7,174,50,Haiderpur,Groundwater,Moderate,Medium
2022,North Delhi,Model Town,North,53703,12.25,11.21,91.5,82.1,8,261,0.62,1.8,17.2,940,25.9,31.4,159,50,Dwarka,Yamuna,Moderate,Medium
2023,North Delhi,Model Town,North,54705,10.87,9.85,90.6,82.9,8,412,0.22,2.1,17.5,877,25.1,32.1,154,50,Bawana,Yamuna,Moderate,Medium
2024,North Delhi,Model Town,North,55502,13.78,12.61,91.5,84.1,7.1,236,0.63,1.2,17.8,891,23.9,27.3,136,50,Bawana,Yamuna,Moderate,Medium
2025,North Delhi,Model Town,North,56478,13.09,12.35,94.3,85.4,7.7,223,0.61,1,18.2,755,22.7,26.4,115,50,Haiderpur,Groundwater,Moderate,Low
2014,North Delhi,Ashok Vihar,North,52598,12.14,9.53,78.5,74.2,7.7,457,0.23,1.5,14.8,567,25.4,30.9,230,48,Dwarka,Ganga Canal,Poor,High
2015,North Delhi,Ashok Vihar,North,53383,13.61,11.14,81.8,75.7,7.8,273,0.76,1.6,15.2,753,24.3,32.1,199,48,Bawana,Yamuna,Poor,High
2016,North Delhi,Ashok Vihar,North,54177,11.86,9.88,83.3,76.9,7.7,473,0.44,1.3,15.6,794,23.7,29.4,193,48,Dwarka,Groundwater,Poor,High
2017,North Delhi,Ashok Vihar,North,55309,11.8,9.76,82.7,78,7.8,244,0.21,2.2,15.8,618,22.8,28.5,192,48,Haiderpur,Ganga Canal,Poor,High
2018,North Delhi,Ashok Vihar,North,56140,11.3,9.47,83.8,79.5,8,259,0.51,2.3,16.2,944,21.9,25.6,192,48,Okhla,Yamuna,Poor,High
2019,North Delhi,Ashok Vihar,North,57302,13.98,12.08,86.4,80.9,7.6,221,0.27,1.1,16.5,934,21,24.6,167,48,Bawana,Groundwater,Moderate,Medium
2020,North Delhi,Ashok Vihar,North,58016,11.73,10.3,87.8,82.2,8.2,424,0.43,2.5,16.9,579,20.3,26.5,156,48,Bawana,Groundwater,Moderate,Medium
2021,North Delhi,Ashok Vihar,North,58812,12.59,11.19,88.9,83,7.3,452,0.33,2.1,17.3,957,19.3,24.6,151,48,Bhagirathi,Groundwater,Moderate,Medium
2022,North Delhi,Ashok Vihar,North,59908,14.24,12.56,88.2,84,8.1,440,0.47,0.3,17.7,971,18.4,21.5,148,48,Wazirabad,Groundwater,Moderate,Medium
2023,North Delhi,Ashok Vihar,North,60883,14.19,12.83,90.4,84.9,7.4,339,0.62,2.3,18,723,17.6,21.4,124,48,Okhla,Ganga Canal,Moderate,Medium
2024,North Delhi,Ashok Vihar,North,62197,13.32,12.46,93.5,86.2,7.4,359,0.66,1.2,18.3,757,16.8,21.7,109,48,Dwarka,Ganga Canal,Moderate,Low
2025,North Delhi,Ashok Vihar,North,63052,13.46,12.28,91.2,87,7.9,247,0.59,0.8,18.7,635,15.6,20.2,120,48,Wazirabad,Ganga Canal,Moderate,Medium
2014,North Delhi,Mukherjee Nagar,North,50314,10.81,8.61,79.6,81.9,7.3,221,0.45,2.5,10.6,431,30.6,34.3,235,36,Dwarka,Groundwater,Moderate,High
2015,North Delhi,Mukherjee Nagar,North,50956,13.09,10.76,82.2,82.6,7.3,221,0.71,0.4,10.8,591,29.9,37.9,233,36,Wazirabad,Ganga Canal,Moderate,High
2016,North Delhi,Mukherjee Nagar,North,51645,10.5,8.72,83.1,83.6,7.3,458,0.73,1.9,11,518,28.9,32,207,36,Dwarka,Groundwater,Moderate,High
2017,North Delhi,Mukherjee Nagar,North,52329,12.63,10.8,85.5,84.4,7.2,259,0.66,1.6,11.5,815,28.2,34.9,192,36,Chandrawal,Groundwater,Moderate,Medium
2018,North Delhi,Mukherjee Nagar,North,53333,12.65,10.57,83.6,85.4,7.4,469,0.51,1.7,11.8,473,27.4,35.1,203,36,Okhla,Groundwater,Moderate,High
2019,North Delhi,Mukherjee Nagar,North,54248,13.07,11.23,86,86.2,7.3,195,0.39,1.9,12.1,463,26.6,34,192,36,Bhagirathi,Yamuna,Moderate,Medium
2020,North Delhi,Mukherjee Nagar,North,55357,11.34,9.9,87.3,87.5,7.8,434,0.41,0.5,12.3,530,25.8,31.7,188,36,Bhagirathi,Ganga Canal,Moderate,Medium
2021,North Delhi,Mukherjee Nagar,North,56388,13.42,11.9,88.7,88.8,8.1,277,0.36,2,12.7,567,25.2,32.1,162,36,Dwarka,Ganga Canal,Good,Medium
2022,North Delhi,Mukherjee Nagar,North,57590,14.36,12.75,88.8,90.3,7.4,500,0.74,0.9,13.1,840,24.7,31.3,155,36,Wazirabad,Yamuna,Good,Medium
2023,North Delhi,Mukherjee Nagar,North,58798,13.36,12.35,92.4,91.3,7.8,253,0.76,1.5,13.4,780,23.6,31.4,142,36,Bhagirathi,Groundwater,Good,Low
2024,North Delhi,Mukherjee Nagar,North,59890,11.78,10.8,91.7,92,7.6,474,0.52,0.4,13.6,453,22.5,26,138,36,Okhla,Yamuna,Good,Medium
2025,North Delhi,Mukherjee Nagar,North,60851,12.23,11.39,93.1,93.4,7.7,218,0.53,0.4,14,811,21.4,26.4,118,36,Chandrawal,Groundwater,Good,Low
2014,North Delhi,Adarsh Nagar,North,53970,12.02,9.63,80.1,82.4,7.5,234,0.5,2,13.3,817,30.3,37.4,234,47,Okhla,Yamuna,Moderate,High
2015,North Delhi,Adarsh Nagar,North,54823,13,10.4,80,83,7,240,0.73,0.5,13.6,666,29.7,37.4,239,47,Dwarka,Yamuna,Moderate,High
2016,North Delhi,Adarsh Nagar,North,55996,12.42,10.41,83.8,83.8,7,256,0.21,1.2,13.9,465,28.7,34.3,211,47,Bhagirathi,Yamuna,Moderate,High
2017,North Delhi,Adarsh Nagar,North,57218,12.35,10.18,82.5,85.1,8.1,394,0.57,0.8,14.3,620,27.5,33.4,219,47,Bawana,Yamuna,Moderate,High
2018,North Delhi,Adarsh Nagar,North,58434,12.95,11.01,85,86.3,7.3,432,0.54,1,14.7,925,26.4,33.5,199,47,Wazirabad,Ganga Canal,Moderate,High
2019,North Delhi,Adarsh Nagar,North,59507,12.73,10.91,85.7,87.7,7.6,254,0.54,0.7,15,581,25.2,32.2,192,47,Bhagirathi,Ganga Canal,Moderate,Medium
2020,North Delhi,Adarsh Nagar,North,60674,14.69,12.88,87.7,88.8,7.2,226,0.79,1.1,15.4,467,24.6,28.3,163,47,Bhagirathi,Ganga Canal,Good,Medium
2021,North Delhi,Adarsh Nagar,North,61438,13.88,12.12,87.3,89.6,7.1,478,0.66,1,15.8,652,23.9,30.4,178,47,Bhagirathi,Groundwater,Good,Medium
2022,North Delhi,Adarsh Nagar,North,62475,12.82,11.68,91.1,91,7.5,240,0.69,1.8,16.2,615,22.8,26.4,149,47,Okhla,Groundwater,Good,Medium
2023,North Delhi,Adarsh Nagar,North,63806,13.7,12.44,90.8,92.2,7.5,201,0.36,1.1,16.5,537,22.1,26,152,47,Bawana,Ganga Canal,Good,Medium
2024,North Delhi,Adarsh Nagar,North,65069,13.66,12.62,92.4,92.8,7.2,232,0.54,2,16.8,766,21.4,25.6,131,47,Bawana,Yamuna,Good,Low
2025,North Delhi,Adarsh Nagar,North,66344,14.21,13.06,91.9,93.6,7.3,228,0.24,2.3,17.2,884,20.4,27.2,124,47,Bhagirathi,Yamuna,Good,Medium
2014,North Delhi,Azadpur,North,47950,11.03,9.02,81.8,75.1,8.1,205,0.26,1.7,18.2,632,25.8,29.7,202,30,Wazirabad,Yamuna,Poor,High
2015,North Delhi,Azadpur,North,48846,12.67,10.33,81.5,76.6,8.1,320,0.24,2.3,18.5,935,24.8,32.4,202,30,Okhla,Groundwater,Poor,High
2016,North Delhi,Azadpur,North,49895,11.8,9.84,83.4,77.4,7.1,420,0.54,0.9,18.9,796,24.2,28.5,200,30,Haiderpur,Groundwater,Poor,High
2017,North Delhi,Azadpur,North,50829,12.41,10.4,83.8,78.4,7.4,378,0.63,0.8,19.3,690,23.4,26.4,181,30,Okhla,Ganga Canal,Poor,High
2018,North Delhi,Azadpur,North,51833,11.32,9.82,86.8,79.6,7.5,246,0.36,1.1,19.7,758,22.4,28,173,30,Dwarka,Groundwater,Poor,Medium
2019,North Delhi,Azadpur,North,52607,10.65,9.21,86.5,80.6,7.3,189,0.36,0.7,19.9,525,21.3,29.1,160,30,Bhagirathi,Yamuna,Moderate,Medium
2020,North Delhi,Azadpur,North,53494,12.09,10.59,87.6,81.5,7.9,508,0.29,2,20.2,501,20.4,25.6,152,30,Chandrawal,Yamuna,Moderate,Medium
2021,North Delhi,Azadpur,North,54306,13.54,12.13,89.6,82.2,7.9,456,0.22,2.2,20.6,830,19.8,25.6,141,30,Okhla,Groundwater,Moderate,Medium
2022,North Delhi,Azadpur,North,55130,11.82,10.68,90.4,83.1,7.5,326,0.57,1.3,21,445,18.9,23.6,131,30,Chandrawal,Groundwater,Moderate,Medium
2023,North Delhi,Azadpur,North,55843,11.51,10.65,92.6,84.1,8.1,480,0.39,0.5,21.2,703,18,24.4,112,30,Okhla,Yamuna,Moderate,Low
2024,North Delhi,Azadpur,North,56610,12.64,11.51,91.1,85.3,7.5,222,0.62,1.5,21.6,760,17.1,21.7,130,30,Bhagirathi,Ganga Canal,Moderate,Medium
2025,North Delhi,Azadpur,North,57653,11.44,10.66,93.2,86.3,7.1,370,0.48,0.8,22,435,16.5,21.2,112,30,Haiderpur,Ganga Canal,Moderate,Low
2014,North Delhi,Wazirpur,North,51792,12.09,9.51,78.6,75.5,7.7,325,0.52,2.5,17.7,834,26.3,32.7,237,54,Wazirabad,Yamuna,Poor,High
2015,North Delhi,Wazirpur,North,52639,11.93,9.52,79.8,76.5,7.8,395,0.76,1.3,18.2,667,25.3,29,214,54,Wazirabad,Ganga Canal,Poor,High
2016,North Delhi,Wazirpur,North,53344,11.1,9.32,84,77.8,7.9,235,0.68,1,18.6,472,24.7,27.7,184,54,Okhla,Yamuna,Poor,High
2017,North Delhi,Wazirpur,North,54516,12.67,10.52,83.1,78.6,8.2,281,0.46,1.3,18.9,766,23.7,28.2,193,54,Okhla,Yamuna,Poor,High
2018,North Delhi,Wazirpur,North,55705,12.43,10.72,86.2,79.4,7.8,371,0.7,2.3,19.3,840,22.7,30.4,174,54,Dwarka,Ganga Canal,Poor,Medium
2019,North Delhi,Wazirpur,North,56473,12.19,10.39,85.2,80.1,7.8,188,0.67,0.3,19.7,430,22.1,29.1,176,54,Haiderpur,Ganga Canal,Moderate,Medium
2020,North Delhi,Wazirpur,North,57603,11.84,10.36,87.5,81.4,7.7,423,0.61,2.3,20,919,21.5,26.9,161,54,Dwarka,Yamuna,Moderate,Medium
2021,North Delhi,Wazirpur,North,58510,13.55,11.91,87.9,82.4,7,472,0.53,2.3,20.3,539,20.8,24.1,164,54,Bawana,Groundwater,Moderate,Medium
2022,North Delhi,Wazirpur,North,59337,12.77,11.39,89.2,83.6,7.9,259,0.33,1.4,20.6,475,20,25.5,151,54,Haiderpur,Ganga Canal,Moderate,Medium
2023,North Delhi,Wazirpur,North,60526,13.18,11.96,90.7,85.1,7.7,375,0.66,1.7,20.8,673,18.8,23.5,121,54,Dwarka,Groundwater,Moderate,Medium
2024,North Delhi,Wazirpur,North,61370,14.56,13.6,93.4,86,7.8,218,0.7,2.3,21.3,537,18.3,23.3,119,54,Bhagirathi,Ganga Canal,Moderate,Low
2025,North Delhi,Wazirpur,North,62380,15.05,13.87,92.2,86.8,7.2,211,0.25,2,21.5,859,17.2,22.7,111,54,Dwarka,Ganga Canal,Moderate,Low
2014,North Delhi,Shalimar Bagh,North,47881,9.99,8,80.1,76.8,7.8,362,0.37,0.4,17.2,942,28,31.3,221,32,Okhla,Ganga Canal,Poor,High
2015,North Delhi,Shalimar Bagh,North,48743,12.73,10.56,83,78.1,7.8,462,0.45,2,17.5,624,27.3,33.7,203,32,Bhagirathi,Yamuna,Poor,High
2016,North Delhi,Shalimar Bagh,North,49584,11.18,9.25,82.7,79.5,7.2,499,0.8,2,17.8,790,26.2,33.4,198,32,Bhagirathi,Yamuna,Poor,High
2017,North Delhi,Shalimar Bagh,North,50333,10.81,8.84,81.7,80.4,7.3,411,0.42,1.7,18.3,539,25.4,30.2,206,32,Okhla,Groundwater,Moderate,High
2018,North Delhi,Shalimar Bagh,North,51012,10.31,8.78,85.1,81.1,8.1,320,0.61,0.7,18.7,537,24.9,29.9,180,32,Wazirabad,Yamuna,Moderate,Medium
2019,North Delhi,Shalimar Bagh,North,52067,13,10.94,84.1,82.2,8.1,383,0.68,2.3,19.1,894,24,29.9,196,32,Dwarka,Ganga Canal,Moderate,High
2020,North Delhi,Shalimar Bagh,North,52871,11.82,10.26,86.8,82.9,7.3,424,0.27,1.6,19.5,645,22.9,27.1,180,32,Dwarka,Ganga Canal,Moderate,Medium
2021,North Delhi,Shalimar Bagh,North,53845,11.41,10.15,88.9,83.9,8.1,381,0.63,1.9,20,656,22,28.1,152,32,Bhagirathi,Yamuna,Moderate,Medium
2022,North Delhi,Shalimar Bagh,North,54911,12.47,11.31,90.7,85,7.5,443,0.79,1.4,20.2,738,21.1,28.6,150,32,Bhagirathi,Ganga Canal,Moderate,Medium
2023,North Delhi,Shalimar Bagh,North,55726,13.24,12.27,92.7,86.1,7.1,217,0.26,1.8,20.5,685,20.3,25.7,132,32,Bawana,Ganga Canal,Moderate,Low
2024,North Delhi,Shalimar Bagh,North,56624,14.14,13.22,93.5,86.8,7.3,516,0.5,1.5,20.7,759,19.2,25.2,109,32,Wazirabad,Yamuna,Moderate,Low
2025,North Delhi,Shalimar Bagh,North,57763,12.74,11.7,91.8,87.9,7.1,483,0.4,0.7,21.1,557,18.2,24.4,130,32,Chandrawal,Yamuna,Moderate,Medium
2014,North Delhi,GTB Nagar,North,47106,11,8.96,81.4,74.7,8.2,265,0.68,0.6,11.3,689,28.3,33.9,226,47,Haiderpur,Groundwater,Poor,High
